"","Date_Survey","Date_Entered","Transect","Quadrat","Urch_substrate","Substrate_Status","Urchins_pickedup","Urchin_quadtotal","Pooled_substrate","Reef_name"
"1","09/24/2019","09/29/2019",1,2,"PORI","D",37,50,"DC","Teek1"
"2","09/24/2019","09/29/2019",1,2,"CYAN","L",1,50,"Other","Teek1"
"3","09/24/2019","09/29/2019",1,2,"CCA","L",2,50,"DC","Teek1"
"4","09/24/2019","09/29/2019",1,4,"ATEN","D",2,76,"DC","Teek1"
"5","09/24/2019","09/29/2019",1,4,"MALC","D",11,76,"DC","Teek1"
"6","09/24/2019","09/29/2019",1,4,"PORI","D",25,76,"DC","Teek1"
"7","09/24/2019","09/29/2019",1,4,"HALI","L",1,76,"Other","Teek1"
"8","09/24/2019","09/29/2019",1,4,"CCA","L",9,76,"DC","Teek1"
"9","09/24/2019","09/29/2019",1,4,"CLRP","L",1,76,"Other","Teek1"
"10","09/24/2019","09/29/2019",1,4,"TEST","D",1,76,"Other","Teek1"
"11","09/24/2019","09/29/2019",1,6,"MALC","D",1,34,"DC","Teek1"
"12","09/24/2019","09/29/2019",1,6,"PORI","D",9,34,"DC","Teek1"
"13","09/24/2019","09/29/2019",1,6,"ATEN","L",1,34,"LC","Teek1"
"14","09/24/2019","09/29/2019",1,6,"MALC","L",1,34,"LC","Teek1"
"15","09/24/2019","09/29/2019",1,6,"SPONGE","L",2,34,"Other","Teek1"
"16","09/24/2019","09/29/2019",1,6,"CCA","L",3,34,"DC","Teek1"
"17","09/24/2019","09/29/2019",1,8,"PORI","D",33,63,"DC","Teek1"
"18","09/24/2019","09/29/2019",1,8,"ZPUL","L",2,63,"ZPUL","Teek1"
"19","09/24/2019","09/29/2019",1,8,"SPONGE","L",2,63,"Other","Teek1"
"20","09/24/2019","09/29/2019",1,8,"CCA","L",3,63,"DC","Teek1"
"21","09/24/2019","09/29/2019",1,8,"AAGA","L",1,63,"LC","Teek1"
"22","09/24/2019","09/29/2019",1,8,"BRAIN","L",5,63,"LC","Teek1"
"23","09/24/2019","09/29/2019",1,10,"PORI","D",10,37,"DC","Teek1"
"24","09/24/2019","09/29/2019",1,10,"MALC","L",1,37,"LC","Teek1"
"25","09/24/2019","09/29/2019",1,10,"CCA","L",1,37,"DC","Teek1"
"26","09/24/2019","09/29/2019",1,12,"ATEN","D",1,34,"DC","Teek1"
"27","09/24/2019","09/29/2019",1,12,"MALC","D",2,34,"DC","Teek1"
"28","09/24/2019","09/29/2019",1,12,"PORI","D",10,34,"DC","Teek1"
"29","09/24/2019","09/29/2019",1,12,"SPONGE","L",2,34,"Other","Teek1"
"30","09/24/2019","09/29/2019",1,12,"CCA","L",2,34,"DC","Teek1"
"31","09/24/2019","09/29/2019",1,14,"ATEN","D",1,62,"DC","Teek1"
"32","09/24/2019","09/29/2019",1,14,"MALC","D",2,62,"DC","Teek1"
"33","09/24/2019","09/29/2019",1,14,"PORI","D",18,62,"DC","Teek1"
"34","09/24/2019","09/29/2019",1,14,"SPONGE","L",1,62,"Other","Teek1"
"35","09/24/2019","09/29/2019",1,14,"HALI","L",4,62,"Other","Teek1"
"36","09/24/2019","09/29/2019",1,14,"CLRP","L",1,62,"Other","Teek1"
"38","09/24/2019","09/29/2019",1,18,"PORI","D",1,22,"DC","Teek1"
"39","09/24/2019","09/29/2019",1,18,"MALC","L",1,22,"LC","Teek1"
"40","09/24/2019","09/29/2019",1,20,"MALC","D",3,18,"DC","Teek1"
"41","09/24/2019","09/29/2019",1,20,"PORI","D",7,18,"DC","Teek1"
"42","09/24/2019","09/29/2019",1,22,"PORI","D",11,24,"DC","Teek1"
"43","09/24/2019","09/29/2019",1,22,"ZPUL","L",2,24,"ZPUL","Teek1"
"44","09/24/2019","09/29/2019",1,22,"SPONGE","L",2,24,"Other","Teek1"
"45","09/24/2019","09/29/2019",1,22,"CCA","L",2,24,"DC","Teek1"
"46","09/24/2019","09/29/2019",1,24,"MALC","D",3,26,"DC","Teek1"
"47","09/24/2019","09/29/2019",1,24,"PORI","D",8,26,"DC","Teek1"
"48","09/24/2019","09/29/2019",1,24,"CCA","L",1,26,"DC","Teek1"
"49","09/24/2019","09/29/2019",1,26,"PORI","D",12,38,"DC","Teek1"
"50","09/24/2019","09/29/2019",1,26,"SPONGE","L",1,38,"Other","Teek1"
"51","09/24/2019","09/29/2019",1,26,"CLRP","L",1,38,"Other","Teek1"
"52","09/24/2019","09/29/2019",1,26,"CCA","L",2,38,"DC","Teek1"
"53","09/24/2019","09/29/2019",1,28,"PORI","D",4,26,"DC","Teek1"
"54","09/24/2019","09/29/2019",1,28,"SPONGE","L",1,26,"Other","Teek1"
"55","09/24/2019","09/29/2019",1,28,"CLRP","L",8,26,"Other","Teek1"
"56","09/24/2019","09/29/2019",1,28,"CCA","L",1,26,"DC","Teek1"
"57","09/25/2019","09/29/2019",1,2,"CCA","L",1,2,"DC","Runway"
"58","09/25/2019","09/29/2019",1,6,"PORI","D",4,15,"DC","Runway"
"59","09/25/2019","09/29/2019",1,6,"HALI","L",1,15,"Other","Runway"
"60","09/25/2019","09/29/2019",1,10,"MALC","D",2,18,"DC","Runway"
"61","09/25/2019","09/29/2019",1,10,"SPONGE","L",1,18,"Other","Runway"
"62","09/25/2019","09/29/2019",1,10,"CCA","L",1,18,"DC","Runway"
"63","09/25/2019","09/29/2019",1,14,"ATEN","D",7,29,"DC","Runway"
"64","09/25/2019","09/29/2019",1,14,"PORI","D",4,29,"DC","Runway"
"65","09/25/2019","09/29/2019",1,14,"RUBB","D",7,29,"DC","Runway"
"66","09/25/2019","09/29/2019",1,14,"CCA","L",1,29,"DC","Runway"
"67","09/25/2019","09/29/2019",1,18,"ATEN","D",1,25,"DC","Runway"
"68","09/25/2019","09/29/2019",1,18,"MALC","D",2,25,"DC","Runway"
"69","09/25/2019","09/29/2019",1,18,"SPONGE","L",1,25,"Other","Runway"
"70","09/25/2019","09/29/2019",1,22,"ATEN","D",1,12,"DC","Runway"
"71","09/25/2019","09/29/2019",1,22,"DCOR","D",1,12,"DC","Runway"
"72","09/25/2019","09/29/2019",1,22,"HALI","L",1,12,"Other","Runway"
"73","09/25/2019","09/29/2019",1,26,"HALI","L",4,13,"Other","Runway"
"74","09/25/2019","09/29/2019",1,26,"DCOR","D",1,13,"DC","Runway"
"75","09/24/2019","09/29/2019",2,2,"PORI","D",59,106,"DC","Teek2"
"76","09/24/2019","09/29/2019",2,2,"ZPUL","L",10,106,"ZPUL","Teek2"
"77","09/24/2019","09/29/2019",2,2,"SPONGE","L",3,106,"Other","Teek2"
"78","09/24/2019","09/29/2019",2,6,"PORI","D",22,47,"DC","Teek2"
"79","09/24/2019","09/29/2019",2,6,"ZPUL","L",8,47,"ZPUL","Teek2"
"80","09/24/2019","09/29/2019",2,6,"SPONGE","L",1,47,"Other","Teek2"
"81","09/24/2019","09/29/2019",2,10,"PORI","D",83,114,"DC","Teek2"
"82","09/24/2019","09/29/2019",2,10,"PORI","L",4,114,"LC","Teek2"
"83","09/24/2019","09/29/2019",2,10,"SPONGE","L",4,114,"Other","Teek2"
"84","09/24/2019","09/29/2019",2,10,"CCA","L",5,114,"DC","Teek2"
"85","09/24/2019","09/29/2019",2,14,"PORI","D",4,19,"DC","Teek2"
"86","09/24/2019","09/29/2019",2,14,"ZPUL","L",6,19,"ZPUL","Teek2"
"87","09/24/2019","09/29/2019",2,14,"GRASS","L",1,19,"Other","Teek2"
"88","09/24/2019","09/29/2019",2,18,"PORI","D",20,45,"DC","Teek2"
"89","09/24/2019","09/29/2019",2,18,"PORI","L",2,45,"LC","Teek2"
"90","09/24/2019","09/29/2019",2,18,"ZPUL","L",5,45,"ZPUL","Teek2"
"91","09/24/2019","09/29/2019",2,18,"SPONGE","L",1,45,"Other","Teek2"
"92","09/24/2019","09/29/2019",2,22,"PORI","D",19,55,"DC","Teek2"
"93","09/24/2019","09/29/2019",2,22,"PORI","L",1,55,"LC","Teek2"
"94","09/24/2019","09/29/2019",2,22,"ZPUL","L",10,55,"ZPUL","Teek2"
"95","09/24/2019","09/29/2019",2,22,"CYAN","L",1,55,"Other","Teek2"
"96","09/24/2019","09/29/2019",2,22,"SPONGE","L",1,55,"Other","Teek2"
"97","09/24/2019","09/29/2019",2,26,"PORI","D",2,20,"DC","Teek2"
"98","09/24/2019","09/29/2019",2,26,"ZPUL","L",7,20,"ZPUL","Teek2"
"99","09/24/2019","09/29/2019",2,26,"SPONGE","L",1,20,"Other","Teek2"
"100","09/24/2019","09/29/2019",2,26,"CLRP","L",10,20,"Other","Teek2"
