,Bag_Number,Plot_ID,Block,Fragment_location,Fragment_Type,Habitat_Treatment,Plot_Type,Buoyant_weight_Initial,Salinity_initial,Temperature_Initial,Initial_SW_density.kg.m3.,Buoyantweight_final,Temp_Final,Salin_final,Tag_number,Final_SW_density.kg.m3.,Plot_Recovered,Consolidation,Initial_est_weight,Initial_est_weight_corr,Final_est_weight,Final_est_weight_corr,Diff_weight,z_correct,Diff_weight_corr,proplost_corr,frag_recover
1,11,B1_Z_PC,1,Center,ZPUL,ZPUL,Partial,11.47,33.9,28,1021.57,9.26,27.3,33,301,1021.12,yes,No,17.6098154,17.28376031,14.21346549,13.95029563,3.39634991,0.018515531,3.333464688,0.192866866,1
2,141,B1_Z_PC,1,Corner,DCOR,ZPUL,Partial,5.27,34,26.7,1022.06,NA,NA,NA,301,NA,yes,No,8.093074206,8.093074206,NA,NA,NA,0.01651517,NA,NA,0
3,6,B1_Z_EN,1,Center,ZPUL,ZPUL,Enclosure,12.52,33.5,28.3,1021.17,10.01,27.3,33,302,1021.12,yes,No,19.21784549,18.42880726,15.3646641,14.73382817,3.85318139,0.04105758,3.694979087,0.200500175,1
4,131,B1_Z_EN,1,Corner,DCOR,ZPUL,Enclosure,10.37,34,26.7,1022.06,NA,NA,NA,302,NA,yes,No,15.9250815,15.9250815,NA,NA,NA,-0.009641185,NA,NA,0
5,81,B2_DC1_PC,2,Center,DCOR,DCOR,Partial,11.68,34,27.1,1021.93,NA,NA,NA,303,NA,yes,No,17.93561033,17.93561033,NA,NA,NA,0.048456467,NA,NA,0
6,82,B2_DC2_PC,2,Corner,DCOR,DCOR,Partial,17.23,34,27.1,1021.93,NA,NA,NA,303,NA,yes,No,26.4580964,26.4580964,NA,NA,NA,0.046762366,NA,NA,0
7,16,B1_Z_OP,1,Center,ZPUL,ZPUL,Open,31.37,33.9,27.7,1021.67,15.76,27.3,33,304,1021.12,yes,No,48.16467802,46.81437036,24.1905201,23.51233339,23.97415792,0.028035226,23.30203698,0.497753933,1
8,151,B1_Z_OP,1,Corner,DCOR,ZPUL,Open,9.81,34,26.7,1022.06,NA,NA,NA,304,NA,yes,No,15.06509639,15.06509639,NA,NA,NA,-0.013399872,NA,NA,0
9,41,B1_DC1_EX,1,Center,DCOR,DCOR,Exclosure,16.21,34,27.2,1021.9,1.39,27.3,33,305,1021.12,yes,No,24.8914103,24.8914103,2.133554755,2.133554755,22.75785555,0.060762868,22.75785555,0.914285501,1
10,42,B1_DC2_EX,1,Corner,DCOR,DCOR,Exclosure,19.1,34,27.2,1021.9,3.87,27.3,33,305,1021.12,yes,No,29.32917562,29.32917562,5.94018482,5.94018482,23.3889908,0.006919096,23.3889908,0.797464992,1
11,101,B1_DC1_OP,1,Center,DCOR,DCOR,Open,5.97,34,27.1,1021.93,NA,NA,NA,306,NA,yes,No,9.167430964,9.167430964,NA,NA,NA,0.028269812,NA,NA,0
12,102,B1_DC2_OP,1,Corner,DCOR,DCOR,Open,10.88,34,27.1,1021.93,NA,NA,NA,306,NA,yes,No,16.70714387,16.70714387,NA,NA,NA,0.054527504,NA,NA,0
13,1,B1_Z_EX,1,Center,ZPUL,ZPUL,Exclosure,10.49,33.4,28.2,1021.13,8.85,27.3,33,307,1021.12,yes,No,16.10151556,15.37414202,13.58414358,12.97049038,2.517371975,0.045174228,2.403651639,0.15634379,1
14,121,B1_Z_EX,1,Corner,DCOR,ZPUL,Exclosure,8.87,34,26.7,1022.06,7.72,27.3,33,307,1021.12,yes,No,13.62154994,13.62154994,11.84967101,11.84967101,1.771878933,0.021770779,1.771878933,0.130079098,1
15,62,B1_DC2_EN,1,Corner,DCOR,DCOR,Enclosure,10.16,34,27.1,1021.93,3.2,27.3,33,308,1021.12,yes,No,15.60152405,15.60152405,4.91178073,4.91178073,10.68974332,0.039585069,10.68974332,0.685173018,1
16,61,B1_DC1_EN,1,Center,DCOR,DCOR,Enclosure,16.02,34,27.1,1021.93,NA,NA,NA,308,NA,yes,No,24.60004088,24.60004088,NA,NA,NA,0.039269362,NA,NA,0
17,2,B2_Z_EX,2,Center,ZPUL,ZPUL,Exclosure,30.21,33.4,28.3,1021.1,19.6,27.3,33,309,1021.12,yes,No,46.36979412,44.89887216,30.08465697,29.13032488,16.28513715,0.031721555,15.76854728,0.351201412,1
18,122,B2_Z_EX,2,Corner,DCOR,ZPUL,Exclosure,15.78,34,26.7,1022.06,6.48,27.3,33,309,1021.12,yes,No,24.23315199,24.23315199,9.946355978,9.946355978,14.28679601,0.047881207,14.28679601,0.589555829,1
19,43,B2_DC1_EX,2,Center,DCOR,DCOR,Exclosure,15.98,34,27.2,1021.9,6.92,27.3,33,310,1021.12,yes,No,24.53823175,24.53823175,10.62172583,10.62172583,13.91650592,0.044772303,13.91650592,0.567135646,1
20,44,B2_DC2_EX,2,Corner,DCOR,DCOR,Exclosure,12,34,27.1,1021.93,NA,NA,NA,310,NA,yes,No,18.42699691,18.42699691,NA,NA,NA,0.035712202,NA,NA,0
21,103,B2_DC1_OP,2,Center,DCOR,DCOR,Open,12.53,34,27.1,1021.93,NA,NA,NA,311,NA,yes,No,19.24085594,19.24085594,NA,NA,NA,0.01827096,NA,NA,0
22,104,B2_DC2_OP,2,Corner,DCOR,DCOR,Open,4.52,34,27.1,1021.93,NA,NA,NA,311,NA,yes,No,6.940835504,6.940835504,NA,NA,NA,0.041240736,NA,NA,0
23,12,B2_Z_PC,2,Center,ZPUL,ZPUL,Partial,25.13,33.9,28,1021.57,NA,NA,NA,312,NA,yes,No,38.58192336,36.43810082,NA,NA,NA,0.055565466,NA,NA,0
24,142,B2_Z_PC,2,Corner,DCOR,ZPUL,Partial,11.59,34,26.6,1020.8,NA,NA,NA,312,NA,yes,No,17.78687408,17.78687408,NA,NA,NA,0.049671244,NA,NA,0
25,7,B2_Z_EN,2,Center,ZPUL,ZPUL,Enclosure,27.6,33.9,28.2,1021.5,29.79,27.3,33.1,313,1021.19,yes,Yes,42.37254388,41.14942178,45.72728559,44.40732581,-3.354741704,0.028865912,-3.257904026,-0.079172535,1
26,132,B2_Z_EN,2,Corner,DCOR,ZPUL,Enclosure,8.31,34,26.7,1022.06,NA,NA,NA,313,NA,yes,No,12.76156483,12.76156483,NA,NA,NA,0.050485231,NA,NA,0
27,17,B2_Z_OP,2,Center,ZPUL,ZPUL,Open,13.61,33.9,27.7,1021.67,12.84,27.3,33,314,1021.12,yes,No,20.89643825,20.42961053,19.70852018,19.26823062,1.187918068,0.022340062,1.161379905,0.056847873,1
28,152,B2_Z_OP,2,Corner,DCOR,ZPUL,Open,12.67,34,26.6,1022.09,NA,NA,NA,314,NA,yes,No,19.45746917,19.45746917,NA,NA,NA,0.032207524,NA,NA,0
29,83,B1_DC1_PC,1,Center,DCOR,DCOR,Partial,17.99,34,27.1,1021.93,NA,NA,NA,315,NA,yes,No,27.62513954,27.62513954,NA,NA,NA,0.045680399,NA,NA,0
30,84,B1_DC2_PC,1,Corner,DCOR,DCOR,Partial,7.12,34,27.1,1021.93,NA,NA,NA,315,NA,yes,No,10.9333515,10.9333515,NA,NA,NA,0.022142032,NA,NA,0
31,63,B2_DC1_EN,2,Center,DCOR,DCOR,Enclosure,10.66,34,27.1,1021.93,3.18,27.3,33,316,1021.12,yes,No,16.36931559,16.36931559,4.8810821,4.8810821,11.48823349,0.062871182,11.48823349,0.701815139,1
32,64,B2_DC2_EN,2,Corner,DCOR,DCOR,Enclosure,8.32,34,27.1,1021.93,NA,NA,NA,316,NA,yes,No,12.77605119,12.77605119,NA,NA,NA,0.004922151,NA,NA,0
33,65,B3_DC1_EN,3,Center,DCOR,DCOR,Enclosure,17.17,34,27.1,1021.93,NA,NA,NA,317,NA,yes,No,26.36596142,26.36596142,NA,NA,NA,0.072067566,NA,NA,0
34,66,B3_DC2_EN,3,Corner,DCOR,DCOR,Enclosure,8.55,34,27.1,1021.93,NA,NA,NA,317,NA,yes,No,13.1292353,13.1292353,NA,NA,NA,0.025655958,NA,NA,0
35,105,B3_DC1_OP,3,Center,DCOR,DCOR,Open,13.67,34,27,1021.97,NA,NA,NA,318,NA,yes,No,20.99186071,20.99186071,NA,NA,NA,0.023236268,NA,NA,0
36,106,B3_DC2_OP,3,Corner,DCOR,DCOR,Open,5.81,34,27,1021.97,NA,NA,NA,318,NA,yes,No,8.921924708,8.921924708,NA,NA,NA,0.023675259,NA,NA,0
37,18,B3_Z_OP,3,Center,ZPUL,ZPUL,Open,21.11,33.9,27.7,1021.67,20.49,26.7,33.1,319,1021.38,yes,No,32.4117422,31.20817419,31.45503034,30.28698858,0.956711868,0.037133703,0.921185613,0.029517447,1
38,153,B3_Z_OP,3,Corner,DCOR,ZPUL,Open,16.9,33.6,26.6,1021.79,NA,NA,NA,319,NA,yes,No,25.94945001,25.94945001,NA,NA,NA,0.071742096,NA,NA,0
39,13,B3_Z_PC,3,Center,ZPUL,ZPUL,Partial,7.27,33.9,28,1021.5,7.91,26.8,33,320,1021.28,yes,Yes,11.1611737,11.17366289,12.14232575,12.15591284,-0.98115205,-0.001118986,-0.982249946,-0.087907605,1
40,143,B3_Z_PC,3,Corner,DCOR,ZPUL,Partial,4.27,33.6,26.6,1021.79,NA,NA,NA,320,NA,yes,No,6.556458671,6.556458671,NA,NA,NA,0.025818879,NA,NA,0
41,46,B3_DC2_EX,3,Corner,DCOR,DCOR,Exclosure,13.77,34,27.1,1021.93,3.52,26.7,33.1,321,1021.38,yes,No,21.14497896,21.14497896,5.403694816,5.403694816,15.74128414,0.035039734,15.74128414,0.744445486,1
42,45,B3_DC1_EX,3,Center,DCOR,DCOR,Exclosure,9.38,34,27.1,1021.93,1.74,27.3,33,321,1021.12,yes,No,14.40376925,14.40376925,2.670780772,2.670780772,11.73298848,0.115478619,11.73298848,0.814577648,1
43,8,B3_Z_EN,3,Center,ZPUL,ZPUL,Enclosure,21.04,33.9,28.1,1021.57,10.09,27.3,33,322,1021.12,yes,No,32.30257332,31.70204546,15.48745861,15.19953572,16.8151147,0.018590713,16.50250974,0.520550315,1
44,133,B3_Z_EN,3,Corner,DCOR,ZPUL,Enclosure,19.8,33.6,26.6,1021.79,NA,NA,NA,322,NA,yes,No,30.40231421,30.40231421,NA,NA,NA,0.046512891,NA,NA,0
45,85,B3_DC1_PC,3,Center,DCOR,DCOR,Partial,6.65,34,27.1,1021.93,NA,NA,NA,323,NA,yes,No,10.21162746,10.21162746,NA,NA,NA,0.020555537,NA,NA,0
46,86,B3_DC2_PC,3,Corner,DCOR,DCOR,Partial,7.91,34,27.1,1021.93,NA,NA,NA,323,NA,yes,No,12.14646213,12.14646213,NA,NA,NA,0.04525032,NA,NA,0
47,3,B3_Z_EX,3,Center,ZPUL,ZPUL,Exclosure,4.47,33.4,28.4,1021.06,8.75,26.8,33,324,1021.28,yes,Yes,6.860928054,6.722233984,13.43177627,13.16025211,-6.570848215,0.02021506,-6.438018126,-0.957720029,1
48,123,B3_Z_EX,3,Corner,DCOR,ZPUL,Exclosure,6.73,34,26.7,1022.06,2.71,27.3,33,324,1021.12,yes,No,10.33517826,10.33517826,4.159664306,4.159664306,6.175513949,0.046946782,6.175513949,0.5975237,1
49,9,B4_Z_EN,4,Center,ZPUL,ZPUL,Enclosure,20.05,33.9,28.1,1021.57,19.39,27.3,33,325,1021.12,yes,No,30.78263284,27.87037914,29.76232136,26.9465963,1.020311484,0.094607038,0.923782837,0.033145686,1
50,134,B4_Z_EN,4,Corner,DCOR,ZPUL,Enclosure,9.31,33.6,26.6,1021.79,NA,NA,NA,325,NA,yes,No,14.29522956,14.29522956,NA,NA,NA,0.032098197,NA,NA,0
51,87,B4_DC1_PC,4,Center,DCOR,DCOR,Partial,18.8,34,27,1021.97,NA,NA,NA,326,NA,yes,No,28.86956704,28.86956704,NA,NA,NA,0.034281081,NA,NA,0
52,88,B4_DC2_PC,4,Corner,DCOR,DCOR,Partial,13.94,34,27,1021.97,NA,NA,NA,326,NA,yes,No,21.40647684,21.40647684,NA,NA,NA,0.053414649,NA,NA,0
53,19,B4_Z_OP,4,Center,ZPUL,ZPUL,Open,9.91,34,27.7,1021.74,11.29,26.7,33.1,327,1021.38,yes,Yes,15.21611311,15.05631905,17.33173707,17.14972549,-2.115623958,0.010501635,-2.093406448,-0.139038396,1
54,154,B4_Z_OP,4,Corner,DCOR,ZPUL,Open,15.32,33.6,26.6,1021.79,NA,NA,NA,327,NA,yes,No,23.52340675,23.52340675,NA,NA,NA,0.031722798,NA,NA,0
55,4,B4_Z_EX,4,Center,ZPUL,ZPUL,Exclosure,11.27,33.5,28.4,1021.14,10.61,26.8,33,328,1021.28,yes,No,17.298859,16.09005607,16.28698814,15.14889232,1.011870866,0.069877611,0.941163748,0.058493503,1
56,124,B4_Z_EX,4,Corner,DCOR,ZPUL,Exclosure,6.2,34,26.7,1022.06,NA,NA,NA,328,NA,yes,No,9.521263771,9.521263771,NA,NA,NA,0.015823444,NA,NA,0
57,14,B4_Z_PC,4,Center,ZPUL,ZPUL,Partial,9.21,33.9,28,1021.57,5.67,26.8,33,329,1021.28,yes,No,14.14005229,13.57455071,8.703791022,8.35570125,5.436261272,0.039992892,5.218849463,0.384458357,1
58,144,B4_Z_PC,4,Corner,DCOR,ZPUL,Partial,8.93,33.6,26.6,1021.79,NA,NA,NA,329,NA,yes,No,13.7117508,13.7117508,NA,NA,NA,0.084419744,NA,NA,0
59,67,B4_DC1_EN,4,Center,DCOR,DCOR,Enclosure,22.09,34,27,1021.97,NA,NA,NA,330,NA,yes,No,33.92174127,33.92174127,NA,NA,NA,0.003302934,NA,NA,0
60,68,B4_DC2_EN,4,Corner,DCOR,DCOR,Enclosure,7.34,34,27,1021.97,NA,NA,NA,330,NA,yes,No,11.27141607,11.27141607,NA,NA,NA,0.05376651,NA,NA,0
61,48,B4_DC2_EX,4,Corner,DCOR,DCOR,Exclosure,7.3,34,27,1021.97,3.42,26.8,33,331,1021.28,yes,No,11.20999146,11.20999146,5.249905696,5.249905696,5.960085761,0.073719229,5.960085761,0.531676209,1
62,47,B4_DC1_EX,4,Center,DCOR,DCOR,Exclosure,13.92,34,27,1021.97,NA,NA,NA,331,NA,yes,No,21.37576453,21.37576453,NA,NA,NA,0.035925049,NA,NA,0
63,107,B4_DC1_OP,4,Center,DCOR,DCOR,Open,6.72,34,27,1021.97,NA,NA,NA,332,NA,yes,No,10.3193346,10.3193346,NA,NA,NA,0.055525332,NA,NA,0
64,108,B4_DC2_OP,4,Corner,DCOR,DCOR,Open,9.25,34,27,1021.97,NA,NA,NA,332,NA,yes,No,14.20444123,14.20444123,NA,NA,NA,0.03291719,NA,NA,0
65,49,B5_DC1_EX,5,Center,DCOR,DCOR,Exclosure,7.18,34,27,1021.97,NA,NA,NA,333,NA,yes,No,11.02571762,11.02571762,NA,NA,NA,0.097579009,NA,NA,0
66,50,B5_DC2_EX,5,Corner,DCOR,DCOR,Exclosure,7.55,34,27,1021.97,NA,NA,NA,333,NA,yes,No,11.59389527,11.59389527,NA,NA,NA,-0.022074267,NA,NA,0
67,20,B5_Z_OP,5,Center,ZPUL,ZPUL,Open,34.48,34,27.7,1020.77,24.95,27.1,33.1,334,1021.26,yes,No,52.91473526,49.08674638,38.29934931,35.52867527,14.61538595,0.072342588,13.55807111,0.276206351,1
68,155,B5_Z_OP,5,Corner,DCOR,ZPUL,Open,20.49,33.6,26.6,1021.79,NA,NA,NA,334,NA,yes,No,31.4617888,31.4617888,NA,NA,NA,-0.011381709,NA,NA,0
69,135,B5_Z_EN,5,Corner,DCOR,ZPUL,Enclosure,13.97,33.6,26.6,1021.79,5.54,26.7,33.1,335,1021.38,yes,No,21.45052169,21.45052169,8.504678773,8.504678773,12.94584292,0.046791775,12.94584292,0.603521122,1
70,10,B5_Z_EN,5,Center,ZPUL,ZPUL,Enclosure,8.41,33.9,28.31,1021.47,5.01,26.8,33.1,335,1021.35,yes,No,12.91114104,12.77820225,7.690933382,7.611744153,5.220207653,0.010296439,5.166458101,0.404318072,1
71,125,B5_Z_EX,5,Corner,DCOR,ZPUL,Exclosure,8.08,33.6,28.6,1021.15,3.93,26.7,33.1,336,1021.38,yes,No,12.40244126,12.40244126,6.033102451,6.033102451,6.369338809,0.067014436,6.369338809,0.513555249,1
72,5,B5_Z_EX,5,Center,ZPUL,ZPUL,Exclosure,40.84,33.5,28.4,1021.14,40.01,27.3,33,336,1021.12,yes,No,62.68725836,58.63995022,61.41260844,57.44759614,1.274649923,0.064563489,1.192354076,0.020333477,1
73,109,B5_DC1_OP,5,Center,DCOR,DCOR,Open,5.77,34,27,1021.97,NA,NA,NA,337,NA,yes,No,8.860500097,8.860500097,NA,NA,NA,0.033950466,NA,NA,0
74,110,B5_DC2_OP,5,Corner,DCOR,DCOR,Open,8.42,34,27,1021.97,NA,NA,NA,337,NA,yes,No,12.92988056,12.92988056,NA,NA,NA,0.057163618,NA,NA,0
75,69,B5_DC1_PC,5,Center,DCOR,DCOR,Partial,19.18,34,27,1021.97,NA,NA,NA,338,NA,yes,No,29.45310084,29.45310084,NA,NA,NA,0.020954977,NA,NA,0
76,70,B5_DC2_PC,5,Corner,DCOR,DCOR,Partial,7.54,34,27,1021.97,NA,NA,NA,338,NA,yes,No,11.57853912,11.57853912,NA,NA,NA,0.066157406,NA,NA,0
77,89,B5_DC1_ENC,5,Center,DCOR,DCOR,Enclosure,5.42,34,27,1021.97,NA,NA,NA,339,NA,yes,No,8.323034753,8.323034753,NA,NA,NA,0.088157449,NA,NA,0
78,90,B5_DC2_ENC,5,Corner,DCOR,DCOR,Enclosure,5.28,34,27,1021.97,NA,NA,NA,339,NA,yes,No,8.108048616,8.108048616,NA,NA,NA,0.048892007,NA,NA,0
79,15,B5_Z_PC,5,Center,ZPUL,ZPUL,Partial,9.14,33.9,27.9,1021.6,8.37,26.7,33.1,340,1021.38,yes,No,14.03280235,14.34670449,12.84912659,13.13655089,1.183675753,-0.02236917,1.210153598,0.084350632,1
